Date_Time,Title,Content
"16 Sep, 2020 10:02pm","8 years on, ATC expected to announce verdict in Baldia factory fire case on Thursday
","400 prosecution witnesses testified in the case in which 10 accused, including MQM leaders, have been charged.
 
    "
"16 Sep, 2020 08:27pm","Israeli jets bomb Gaza after rocket fire clouds peace deal signing
","Hamas warns Israel it faces an escalation if the bombing continues.
 
    "
"16 Sep, 2020 07:57pm","In Pakistan, rape culture is not only systemic, it is reinforced at every level
","The idea that men simply cannot be expected to control their baser impulses in the presence of women has been normalised. 
 
    "
"16 Sep, 2020 06:19pm","Kumrat valley — the hidden gem of Khyber Pakhtunkhwa
","Kumrat valley is one of the most beautiful and unexplored parts of KP and is fast becoming victim to rampant commercialisation. 
 
    "
"16 Sep, 2020 06:16pm","Madonna is co-writing and directing her own biopic
","""The focus of this film will always be music. Music has kept me going and art has kept me alive,"" the singer posted.
 
    "
"16 Sep, 2020 05:47pm","Cardi B files for divorce after three years of marriage
","The rapper is seeking custody of 2-year-old daughter Kulture and child support from Offset, whose real name is Kiari Cephus.
 
    "
"16 Sep, 2020 10:33pm","3 FATF-related bills passed in joint session marred by opposition protests
","Opposition condemns passage of bills, says govt has ""crossed red lines"".
 
    "
"16 Sep, 2020 05:23pm","'Has he descended from the sky?': Senate body irked at Lahore CCPO's absence from meeting
","Decides to submit privilege motion against CCPO; IG motorways says ""no administrative failure"" behind incident.
 
    "
"16 Sep, 2020 05:17pm","Indian, Chinese troops exchanged gunshots twice last week as tensions rose
","The two sides have had a long standing agreement for troops not to use firearms at the poorly defined Line of Actual Control.
 
    "
"16 Sep, 2020 09:26pm","If a man can't respect women, he should stay at home: Shireen Mazari
","Shireen Mazari recommends Pakistani men change their mindset regarding women  
 
    "
"16 Sep, 2020 04:46pm","PCB signs 3-year broadcast deal with PTV Sports
","The cricket board expects to earn in excess of of $200 million during this period.
 
    "
"16 Sep, 2020 03:44pm","Explainer: Reaching herd immunity in a viral pandemic
","There are two pathways to herd immunity: natural infection or vaccination.
 
    "
"16 Sep, 2020 02:48pm","Opposition blocks another FATF-related bill in Senate
","Bill on terror financing is third FATF-related legislation to have been passed by the NA but rejected by opposition-ruled Senate.
 
    "
"16 Sep, 2020 02:10pm","Ertugrul's Dogan Alp has arrived in Islamabad
","The star was spotted enjoying a musical folk performance in the capital.
 
    "
"16 Sep, 2020 01:41pm","India losing credibility at global forums: FM Qureshi
","Says India's objection to Pakistan's political map at the SCO meeting was rejected which caused embarrassment for Delhi.
 
    "
"16 Sep, 2020 12:47pm","Japan's Suga crafts 'continuity cabinet' after voted prime minister
","Shinzo Abe, Japan's longest-serving premier, resigned because of ill health after nearly eight years in office.
 
    "
"16 Sep, 2020 12:12pm","Some Indian hospitals scramble for oxygen as coronavirus cases top 5 million
","At least 6 per cent of India's nearly 1 million active cases need oxygen support, says health official.
 
    "
"16 Sep, 2020 11:11am","Amazon signs Amitabh Bachchan as new Alexa
","""It will include popular offerings like jokes, weather, shayaris, motivational quotes, advice and more,"" announced Amazon.
 
    "
"16 Sep, 2020 11:02am","How the motorway incident made its way around the Pakistani diaspora
","Standing in solidarity with their sisters back home, Pakistani women of the diaspora push the conversation forward.
 
    "
"16 Sep, 2020 10:05am","Editorial: Public hanging is no remedy
","Only structural and procedural changes can make the criminal justice system one that actually serves the people.
 
    "
"16 Sep, 2020 10:09am","17 Indian MPs infected with coronavirus as cases near five million
","Twelve of the 17 infected lawmakers are from the ruling Bharatiya Janata Party, says official.
 
    "
"16 Sep, 2020 10:03am","Germany agrees to take in 1,500 refugees from Greece
","EU countries have been forced to tackle the issue after a fire at a refugee camp left thousands without shelter.
 
    "
"16 Sep, 2020 10:15am","World missing all targets to save nature, warns UN
","Since 1970 close to 70pc of wild animals, birds and fish have vanished, according to a WWF assessment.
 
    "
"16 Sep, 2020 10:12am","Ring found in mass grave brings closure to Spanish civil war victim’s family
","The discovery of the ring has confirmed the resting place of Eugenio Juan Insua.
 
    "
"16 Sep, 2020 03:23pm","Trump says he wanted to kill Assad, but Mattis opposed idea
","Trump was reportedly mulling assassinating Assad after the Syrian president launched a chemical attack on civilians in April 2017.
 
    "
"16 Sep, 2020 10:17am","Palestinians take to streets against deals
","The decision by the UAE and Bahrain to normalise ties with Israel breaks with decades of consensus within the Arab world.
 
    "
"16 Sep, 2020 10:07am","Large-scale manufacturing rebounds by 5.02pc in July
","Monthly snapshot of manufacturing on monthly basis shows 9 out of 15 sub-sectors in LSM rose in July.
 
    "
"16 Sep, 2020 10:13am","Draft rules readied for mobile device manufacturing
","PTA aims for transfer of technology within three years from issuance of authorisation.
 
    "
"16 Sep, 2020 10:24am","TCP evaluating bids to buy 170,000 tonnes of wheat
","The tender was issued to help increase local wheat supplies and cool prices.
 
    "
"16 Sep, 2020 10:27am","Stocks lose 185 points on late profit-booking
","Cement triggers early morning rally on news of price rise per bag in the North.
 
    "
"16 Sep, 2020 10:21am","WTO faults US over Trump’s China tariffs
","US trade representative slams decision, says WTO “is completely inadequate to stop China’s harmful technology practices”.
 
    "
"16 Sep, 2020 10:10am","ADB forecasts 2pc economic growth in FY21
","Current account deficit to remain contained; exports expected to grow.
 
    "
"16 Sep, 2020 10:16am","Antimalarial drugs, Tyvek suits export allowed
","Exports of all Personal Protective Equipment (PPE) items are permitted.
 
    "
"16 Sep, 2020 01:41pm","Islamabad hails map triumph over Delhi at SCO
","Russia overrules Indian objection to displaying of Pakistan’s new political map at the forum.
 
    "
"16 Sep, 2020 09:11am","SC to consult Islamic scholars on grant of remission to terror convicts
","The court is seized with a set of appeals instituted by Punjab and Khyber Pakhtunkhwa.
 
    "
"16 Sep, 2020 09:03am","Houthis urged to halt march on  strategic Yemeni city
","It is said that capture of the strategic city of Marib could tip the military balance in favour of the militia.
 
    "
"16 Sep, 2020 10:28am","Cabinet endorses PM’s view about public hanging of rapists
","Shibli Faraz says government will not accept any pressure from the international community.
 
    "
"16 Sep, 2020 08:53am","Navalny happy to breathe unaided, eyes Russia return
","Navalny’s spokeswoman Kira Yarmysh says the opposition leader plans to return to Russia.
 
    "
"16 Sep, 2020 09:08am","Nawaz to return when his health permits: PML-N
","Opposition party says it honours court decisions, but leader’s life is in danger.
 
    "
"16 Sep, 2020 10:57am","KP patients suffer as lone kidney transplant surgeon retires
","Doctors say Prof Dr Asif Malik is ""indispensable"", urge govt to retain his services.
 
    "
"16 Sep, 2020 10:52am","Mixed reaction over educational institutions’ reopening in KP
","One student says she is happy but worried about classes resuming.
 
    "
"16 Sep, 2020 10:48am","ANP walks out of KP assembly against ex-army men’s recruitment in police
","Law minister says police dept can hire former army men on a contractual basis under ""special circumstances"".
 
    "
"16 Sep, 2020 10:46am","MoU signed to operate electric buses in capital
","In first phase, 30 buses will be operated on different routes, says minister.
 
    "
"16 Sep, 2020 10:40am","68pc pilots cleared in scrutiny
","Official says 32 out of the 82 pilots will be facing one year’s suspension. 
 
    "
"16 Sep, 2020 10:52am","Implementation of SOPs found satisfactory as students head back to schools in Islamabad
","Monitoring teams visit 115 institutions and find only four violating safety measures, says senior official.
 
    "
"16 Sep, 2020 11:18am","Book with ‘offensive’ title taken off shelves
","Action to pull the book off shelves adds to the unease in journalistic circles in the country.
 
    "
"16 Sep, 2020 10:57am","Fresh medical report submitted to LHC: Nawaz must undergo coronary catheterisation
","""I recommend him to take routine walks and engage in healthy physical activity,"" states doctor in report.
 
    "
"16 Sep, 2020 11:09am","Swap of two portfolios in Punjab cabinet
","Hussain Jahanian Gardezi given the portfolio of Agriculture Department.
 
    "
"16 Sep, 2020 10:37am","Manchhar Lake gets new lease on life from record-breaking monsoon spell
","The otherwise saline and murky waters have been replaced with fresh rainwater.
 
    "
"16 Sep, 2020 10:41am","Girl dies in Karachi school on first day after lockdown
","The teenager died after falling from the stairs; the victim's family has blamed the school for their negligence.
 
    "
"16 Sep, 2020 10:44am","Farooq Sattar acquitted in Pakistan Quarters rioting case
","Judge says the prosecution had failed to prove the allegations against the accused persons.
 
    "
"16 Sep, 2020 10:33am","KU students protest against semester exams
","Students say varsity has no justification to hold semester exams when students were hardly taught anything.
 
    "
"16 Sep, 2020 10:31am","Civil society rejects plan to create new city on twin islands along Karachi coast
","""This is not development, it is destruction.""
 
    "
"16 Sep, 2020 10:29am","Constructions in Bahria Town without approved plan stopped
","SHC issues notices to provincial authorities, Bahria Town and other respondents.
 
    "
"16 Sep, 2020 11:00am","Babar should bat in middle-order, says Hafeez
","""The series against Zimbabwe is the perfect opportunity to test your bench strength and give rest to seniors.”
 
    "
"16 Sep, 2020 11:09am","ECB to cut 62 jobs over impact of coronavirus pandemic
","Board's chief executive says such measures would have been ""unthinkable"" seven months ago.
 
    "
"16 Sep, 2020 11:06am","‘Tokyo Games to decide Covid-19 counter-measures by end of year’
","Tokyo officials have said they intend to put on the Games in 2021 even if the pandemic has not eased substantially.
 
    "
"16 Sep, 2020 11:04am","Smith no certainty for series-decider, admits Langer
","“He is definitely tracking in the right direction,"" says the Australian head coach.
 
    "
"16 Sep, 2020 11:02am","Stunner from James helps Chelsea to opening win
","Reece James looks to be a player capable of staying in the team however much money the club spends in the coming seasons.
 
    "
"16 Sep, 2020 09:32am","PIA unveils special flight operation for people intending to attend Arbaeen in Iraq
","Passengers can travel from Karachi, Lahore and Islamabad.
 
    "
"16 Sep, 2020 10:33pm","3 FATF-related bills passed in joint session marred by opposition protests
","Opposition condemns passage of bills, says govt has ""crossed red lines"".
 
    "
"16 Sep, 2020 02:48pm","Opposition blocks another FATF-related bill in Senate
","Bill on terror financing is third FATF-related legislation to have been passed by the NA but rejected by opposition-ruled Senate.
 
    "
"16 Sep, 2020 10:02pm","8 years on, ATC expected to announce verdict in Baldia factory fire case on Thursday
","400 prosecution witnesses testified in the case in which 10 accused, including MQM leaders, have been charged.
 
    "
"16 Sep, 2020 05:23pm","'Has he descended from the sky?': Senate body irked at Lahore CCPO's absence from meeting
","Decides to submit privilege motion against CCPO; IG motorways says ""no administrative failure"" behind incident.
 
    "
"16 Sep, 2020 09:24am","SC refers appeals in Pearl case to CJP for early decision
","Omer Sheikh’s detention under ATA to end on 30th.
 
    "
"16 Sep, 2020 10:28am","Cabinet endorses PM’s view about public hanging of rapists
","Shibli Faraz says government will not accept any pressure from the international community.
 
    "
"16 Sep, 2020 09:29am","Proposal for public hanging leads to impassioned speeches in Senate
","Opposition stages walkout against ‘govt’s intent to build Kalabagh dam’.
 
    "
"16 Sep, 2020 12:10pm","Key suspect in Motorway case still at large as gang member held
","Abid Malhi, who was leading the gang of four, is also wanted to police in at least 10 other criminal cases.
 
    "
"16 Sep, 2020 11:18am","Book with ‘offensive’ title taken off shelves
","Action to pull the book off shelves adds to the unease in journalistic circles in the country.
 
    "
"16 Sep, 2020 09:11am","SC to consult Islamic scholars on grant of remission to terror convicts
","The court is seized with a set of appeals instituted by Punjab and Khyber Pakhtunkhwa.
 
    "
"16 Sep, 2020 10:29am","Constructions in Bahria Town without approved plan stopped
","SHC issues notices to provincial authorities, Bahria Town and other respondents.
 
    "
"16 Sep, 2020 10:41am","Girl dies in Karachi school on first day after lockdown
","The teenager died after falling from the stairs; the victim's family has blamed the school for their negligence.
 
    "
"16 Sep, 2020 07:57pm","In Pakistan, rape culture is not only systemic, it is reinforced at every level
","The idea that men simply cannot be expected to control their baser impulses in the presence of women has been normalised. 
 
    "
"16 Sep, 2020 06:19pm","Kumrat valley — the hidden gem of Khyber Pakhtunkhwa
","Kumrat valley is one of the most beautiful and unexplored parts of KP and is fast becoming victim to rampant commercialisation. 
 
    "
"16 Sep, 2020 10:40am","68pc pilots cleared in scrutiny
","Official says 32 out of the 82 pilots will be facing one year’s suspension. 
 
    "
"16 Sep, 2020 09:26pm","If a man can't respect women, he should stay at home: Shireen Mazari
","Shireen Mazari recommends Pakistani men change their mindset regarding women  
 
    "
"16 Sep, 2020 10:46am","MoU signed to operate electric buses in capital
","In first phase, 30 buses will be operated on different routes, says minister.
 
    "
"16 Sep, 2020 02:10pm","Ertugrul's Dogan Alp has arrived in Islamabad
","The star was spotted enjoying a musical folk performance in the capital.
 
    "
"16 Sep, 2020 10:52am","Implementation of SOPs found satisfactory as students head back to schools in Islamabad
","Monitoring teams visit 115 institutions and find only four violating safety measures, says senior official.
 
    "
"16 Sep, 2020 09:32am","PIA unveils special flight operation for people intending to attend Arbaeen in Iraq
","Passengers can travel from Karachi, Lahore and Islamabad.
 
    "
"16 Sep, 2020 11:09am","Swap of two portfolios in Punjab cabinet
","Hussain Jahanian Gardezi given the portfolio of Agriculture Department.
 
    "
"16 Sep, 2020 11:02am","How the motorway incident made its way around the Pakistani diaspora
","Standing in solidarity with their sisters back home, Pakistani women of the diaspora push the conversation forward.
 
    "
"16 Sep, 2020 10:57am","Fresh medical report submitted to LHC: Nawaz must undergo coronary catheterisation
","""I recommend him to take routine walks and engage in healthy physical activity,"" states doctor in report.
 
    "
"16 Sep, 2020 10:57am","KP patients suffer as lone kidney transplant surgeon retires
","Doctors say Prof Dr Asif Malik is ""indispensable"", urge govt to retain his services.
 
    "
"16 Sep, 2020 10:52am","Mixed reaction over educational institutions’ reopening in KP
","One student says she is happy but worried about classes resuming.
 
    "
"16 Sep, 2020 10:44am","Farooq Sattar acquitted in Pakistan Quarters rioting case
","Judge says the prosecution had failed to prove the allegations against the accused persons.
 
    "
"16 Sep, 2020 10:48am","ANP walks out of KP assembly against ex-army men’s recruitment in police
","Law minister says police dept can hire former army men on a contractual basis under ""special circumstances"".
 
    "
"16 Sep, 2020 09:08am","Nawaz to return when his health permits: PML-N
","Opposition party says it honours court decisions, but leader’s life is in danger.
 
    "
"16 Sep, 2020 09:45am","Tension in Kohat after murder of two men
","Relatives protest, criticise administration for failing to protect the life and property of the people.
 
    "
"16 Sep, 2020 08:14am","Warrant out for Nawaz as excuses leave court unmoved
","NAB prosecutor tells IHC an ""accused loses the audience the moment he absconds"".
 
    "
"16 Sep, 2020 10:37am","Manchhar Lake gets new lease on life from record-breaking monsoon spell
","The otherwise saline and murky waters have been replaced with fresh rainwater.
 
    "
"16 Sep, 2020 08:18am","Follow your dreams, burn your boats: PM
","Imran blames some people for linking Pakistan to temporary problems and not to PTI dreams.
 
    "
"16 Sep, 2020 10:33am","KU students protest against semester exams
","Students say varsity has no justification to hold semester exams when students were hardly taught anything.
 
    "
"16 Sep, 2020 10:31am","Civil society rejects plan to create new city on twin islands along Karachi coast
","""This is not development, it is destruction.""
 
    "
"16 Sep, 2020 10:05am","Editorial: Public hanging is no remedy
","Only structural and procedural changes can make the criminal justice system one that actually serves the people.
 
    "
"16 Sep, 2020 10:07am","Large-scale manufacturing rebounds by 5.02pc in July
","Monthly snapshot of manufacturing on monthly basis shows 9 out of 15 sub-sectors in LSM rose in July.
 
    "
"16 Sep, 2020 10:10am","ADB forecasts 2pc economic growth in FY21
","Current account deficit to remain contained; exports expected to grow.
 
    "
"16 Sep, 2020 10:13am","Draft rules readied for mobile device manufacturing
","PTA aims for transfer of technology within three years from issuance of authorisation.
 
    "
"16 Sep, 2020 10:16am","Antimalarial drugs, Tyvek suits export allowed
","Exports of all Personal Protective Equipment (PPE) items are permitted.
 
    "
"16 Sep, 2020 10:21am","WTO faults US over Trump’s China tariffs
","US trade representative slams decision, says WTO “is completely inadequate to stop China’s harmful technology practices”.
 
    "
"16 Sep, 2020 10:24am","TCP evaluating bids to buy 170,000 tonnes of wheat
","The tender was issued to help increase local wheat supplies and cool prices.
 
    "
"16 Sep, 2020 10:27am","Stocks lose 185 points on late profit-booking
","Cement triggers early morning rally on news of price rise per bag in the North.
 
    "
"15 Sep, 2020 09:05am","Pakistan has entered industrialisation phase: PM
","Says jobs to be provided to locals at their doorsteps.
 
    "
"15 Sep, 2020 10:22am","Remittances up 31pc in July-August
","24.4pc jump from August last year, but 24pc fall from July.
 
    "
"15 Sep, 2020 10:24am","PSM no more a going concern
","Mills current liabilities exceed its assets.
 
    "
"15 Sep, 2020 10:29am","Islamic finance important to end exploitation: Alvi
","Stresses need for raising public awareness about Islamic finance.
 
    "
"15 Sep, 2020 10:33am","£1.5bn funding for UK businesses investing in Pakistan
","British high commissioner says UK credit financing for Pakistan has tripled in the last two years.
 
    "
"15 Sep, 2020 10:35am","CCP raids sugar association’s two offices
","CCP warns industry associations from indulging in activities which may violate the Competition Act.
 
    "
"15 Sep, 2020 10:39am","Balochistan regulatory reform committee set up
","Grasp Project Coordinator Azher Ali Chaudhry terms the formation of BRRC as a significant step for policy coherence.
 
    "
"15 Sep, 2020 10:40am","Stocks close flat in range-bound trade
","Analysts say the index was at the pre-Covid level, guiding investors to move with caution.
 
    "
"14 Sep, 2020 08:22am","Distribution companies overbilling consumers to cover up losses: Nepra
","Regulator deplores KE’s inability to boost its generation capacity. 
 
    "
"14 Sep, 2020 10:30am","How to fix Pakistan’s economy
","The role of the World Bank and the IMF has shrunk sharply in the last four decades.
 
    "
"16 Sep, 2020 12:03pm","Islamic banks demand better yield on sukuk
","""Don’t save money by pushing us up against the wall,""says Meezan Bank CEO Irfan Siddiqui.
 
    "
"14 Sep, 2020 10:39am","Chinese bought a stake in PSX. What next?
","Four directors of the foreign consortium continue to be on the board, though their presence is scarcely felt outside.
 
    "
"14 Sep, 2020 10:42am","Improving regulation to boost exports
","There is a need to rationalise the imposition of zero tolerance of pathogens in food.
 
    "
"14 Sep, 2020 10:46am","A new reform paradigm in Punjab
","An effective public finance management system brings long-lasting benefits in the shape of inclusive institutions.
 
    "
"14 Sep, 2020 10:52am","Urban renewal should be a high priority
","The country’s erratic economic growth can be linked to the decline of the fortunes of Karachi and vice versa.
 
    "
"13 Sep, 2020 09:54am","Economy on right path, says Hafeez
","The government has repaid Rs5 trillion debt during the last two years, adviser informs meeting. 
 
    "
"13 Sep, 2020 09:58am","Industry mounts legal challenges to GIDC
","Fertiliser and textile sectors move courts against collection of cess.
 
    "
"13 Sep, 2020 10:01am","Policies being evolved to boost industry: Dawood
","Says govt making all-out efforts for ease of doing business to expedite economic activities.
 
    "
